id,customer_id,order_date,modified_date,ship_date,due_date,billing_address_id,shipping_address_id,credit_card_id,order_total,shipping_cost,tax_due,total_due,order_status
43659,29825,2019-08-20,2019-08-20,2019-08-22,2019-08-22,985,985,16281.0,53438.3072,616.0984,1971.5149,56025.9205,COMPLETED
43660,29672,2019-08-19,2019-08-23,2019-08-23,2019-08-25,921,921,5618.0,4338.0938,38.8276,124.2483,4501.1697,COMPLETED
43661,29734,2019-08-19,2019-08-22,2019-08-23,2019-08-24,517,517,1346.0,61406.3747,985.553,3153.7696,65545.6973,COMPLETED
43662,29994,2019-08-19,2019-08-20,2019-08-21,2019-08-23,482,482,10456.0,56088.586500000005,867.2389,2775.1646,59730.990000000005,COMPLETED
43663,29565,2019-08-22,2019-08-27,2019-08-28,2019-08-28,1073,1073,4322.0,838.9178,12.5838,40.2681,891.7697000000001,COMPLETED
43664,29898,2019-08-17,2019-08-19,2019-08-19,2019-08-19,876,876,806.0,77376.65479999999,732.81,2344.9921,80454.45689999999,COMPLETED
43665,29580,2019-08-19,2019-08-21,2019-08-23,2019-08-24,849,849,15232.0,55411.4238,429.9821,1375.9427,57217.3486,COMPLETED
43666,30052,2019-08-20,2019-08-24,2019-08-24,2019-08-24,1074,1074,13349.0,22337.0442,151.9921,486.3747,22975.411,COMPLETED
43667,29974,2019-08-17,2019-08-21,2019-08-22,2019-08-22,629,629,10370.0,30514.11,183.1626,586.1203,31283.3929,COMPLETED
43668,29614,2019-08-17,2019-08-19,2019-08-20,2019-08-21,529,529,1566.0,63212.3812,1081.8017,3461.7654,67755.9483,COMPLETED
43669,29747,2019-08-18,2019-08-18,2019-08-18,2019-08-19,895,895,15538.0,4288.2258,22.0367,70.5175,4380.78,COMPLETED
43670,29566,2019-08-22,2019-08-24,2019-08-26,2019-08-26,810,810,18017.0,12299.064,183.6126,587.5603,13070.2369,COMPLETED
43671,29890,2019-08-20,2019-08-21,2019-08-22,2019-08-22,855,855,13693.0,26578.6579,244.0042,780.8136,27603.475700000003,COMPLETED
43672,30067,2019-08-19,2019-08-20,2019-08-20,2019-08-22,464,464,3980.0,30512.01,183.6257,587.6023,31283.238,COMPLETED
43673,29844,2019-08-20,2019-08-20,2019-08-20,2019-08-21,821,821,1417.0,13987.6883,111.8629,357.9614,14457.5126,COMPLETED
